id,topic,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
13,"Concurrency",expert,"What should you avoid when using virtual threads (Project Loom, Java 21+)?","Creating too many virtual threads","Using synchronized blocks (which pin the carrier thread)","Performing I/O operations","Using CompletableFuture",B,"Synchronized blocks pin virtual threads to their carrier (platform) thread, preventing other virtual threads from using it. This negates the scalability benefit. Use ReentrantLock instead. Virtual threads are designed for I/O-bound tasks and are cheap to create (millions possible), so pooling them is unnecessary."
14,"Concurrency",medium,"What is the main risk of using ThreadLocal with thread pools?","ThreadLocal variables are automatically shared between threads","ThreadLocal values persist across task executions because pool threads are reused, causing memory leaks","ThreadLocal is not allowed in pooled threads","ThreadLocal slows down thread creation",B,"Thread pools reuse threads, but ThreadLocal values persist across reuse. This causes: memory leaks (values never GC'd), data leaking between tasks (seeing previous task's data). Always call ThreadLocal.remove() in a finally block. In Java 21+, use ScopedValue instead for virtual threads."
15,"Concurrency",hard,"How does work-stealing in ForkJoinPool improve performance?","It allows threads to bypass locks entirely","Idle threads steal tasks from busy threads' deques, balancing load automatically","It prevents any thread from executing more than one task","It duplicates tasks across multiple threads for redundancy",B,"Each ForkJoinPool worker has a deque. It pushes/pops its own tasks from one end. When idle, it steals from other threads' deques (opposite end) to stay busy. This naturally balances load without central coordination — busy threads keep working while idle threads help out."
16,"JVM Internals",medium,"Where are objects typically allocated in the JVM memory model?","Always on the stack","On the heap (shared across threads), unless escape analysis optimizes to stack","In the method area alongside class metadata","In native memory outside the JVM",B,"Objects are allocated on the heap, which is shared across threads and managed by the garbage collector. Local primitive variables live on the stack. However, escape analysis may optimize non-escaping objects to stack allocation (scalar replacement), avoiding heap allocation entirely."
17,"JVM Internals",hard,"Why is interface method dispatch (invokeinterface) potentially slower than virtual method dispatch (invokevirtual)?","Interfaces cannot have implementations","A class can implement multiple interfaces, requiring itable search rather than fixed vtable index","Interface methods are always interpreted, never JIT compiled","Interface methods require reflection to invoke",B,"Virtual methods use a vtable with fixed indices — O(1) lookup. Interface methods use itables: since a class can implement multiple interfaces, the JVM must search for the correct itable entry. Modern JVMs optimize with inline caches (monomorphic dispatch), but megamorphic sites fall back to slower itable lookup."
18,"JVM Internals",expert,"What problem can counted loops without safepoint polls cause in the JVM?","They cause immediate StackOverflowError","They can delay stop-the-world operations (GC) because threads can't reach a safepoint","They always run slower than recursive implementations","They prevent JIT compilation of the loop body",B,"Safepoints are placed at method returns, loop back-edges, and allocation sites — but not always in counted loops (int loop with known bounds). A thread stuck in a long counted loop can't reach a safepoint, causing long TTSP (Time To SafePoint) and delaying GC for ALL threads. Diagnose with -XX:+PrintSafepointStatistics."
19,"Concurrency",medium,"How does ConcurrentHashMap achieve better concurrency than Collections.synchronizedMap?","It uses a single global lock but with priority scheduling","It uses fine-grained locking (node-level CAS + synchronized on bucket head), allowing concurrent reads and writes to different segments","It copies the entire map on every write","It disables all locking and accepts data races",B,"synchronizedMap uses a single lock for all operations. ConcurrentHashMap (Java 8+) uses node-level CAS and synchronized only on the bucket head being modified. Reads are mostly lock-free. This allows high concurrency for operations on different keys without blocking."
20,"Concurrency",hard,"What is false sharing in concurrent programming?","Two threads incorrectly sharing a lock they don't need","Threads modifying different variables that share the same CPU cache line, causing expensive cache invalidation","Two threads reading the same volatile variable","A thread sharing its stack memory with another thread",B,"CPU cache lines are typically 64 bytes. When threads modify different variables on the same cache line, each write invalidates the line for all other cores (cache coherence protocol). Fix with @Contended annotation (Java 8+) which adds padding, or manually pad with unused fields to separate hot variables."
21,"JVM Internals",medium,"Where is the String pool located since Java 7?","In the PermGen space","On the stack","In the heap (and can be garbage collected)","In native memory outside the JVM",C,"In Java 7+, the string pool moved from PermGen to the main heap. This means interned strings can be garbage collected when unreferenced, and the pool can grow dynamically. String literals are automatically interned; manual interning is done via String.intern(). Control pool size with -XX:StringTableSize."
22,"JVM Internals",hard,"What bytecode instruction is used for lambda expressions and why?","invokestatic — because lambdas are static methods","invokespecial — because lambdas are constructors","invokedynamic — because it defers method linkage to runtime via bootstrap method","invokevirtual — because lambdas are virtual method calls",C,"invokedynamic defers method linkage to runtime. For lambdas, the bootstrap method (LambdaMetafactory) generates a lightweight class implementing the functional interface at first call. This avoids anonymous class file generation, enables stateless lambda singletons (zero allocation), and allows JIT optimization."
23,"Concurrency",medium,"What is the key difference between Callable and Runnable?","Callable can only run on a single thread","Callable returns a value and can throw checked exceptions; Runnable cannot","Runnable is faster because it uses less memory","Callable requires explicit thread management while Runnable does not",B,"Runnable: void run() — no return value, no checked exceptions. Callable<V>: V call() throws Exception — returns a value and can throw checked exceptions. Callable is used with ExecutorService.submit() which returns a Future<V> to retrieve the result asynchronously."
24,"JVM Internals",expert,"Why do heaps just over 32GB often perform worse than heaps just under 32GB?","The JVM cannot address more than 32GB of memory","Compressed Oops (32-bit references) are disabled above 32GB, increasing memory usage by ~1.5x","GC algorithms change completely above 32GB","The OS kernel limits Java heaps to 32GB for security",B,"Compressed Oops uses 32-bit references on 64-bit JVMs (addresses shifted by 3 bits for 8-byte alignment = 32GB addressable). Above 32GB, the JVM falls back to full 64-bit references, increasing pointer size from 4 to 8 bytes. This ~1.5x memory increase for references means a 33GB heap may hold less data than a 31GB heap with compressed oops."
25,"Concurrency",hard,"What is the main advantage of the Disruptor (LMAX) over BlockingQueue for producer-consumer patterns?","Disruptor supports unlimited buffer size","Disruptor is easier to implement and understand","Disruptor uses a lock-free ring buffer with cache-line padding, achieving 10-100x higher throughput","Disruptor works without any CPU at all",C,"Disruptor uses a pre-allocated ring buffer with CAS operations (no locks), cache-line padding to prevent false sharing, and sequential memory access (mechanical sympathy). This achieves 10-100x higher throughput than BlockingQueue for high-throughput, low-latency scenarios. Trade-off: it's more complex, fixed-size, and optimized for single-producer patterns."
26,"Spring Framework",medium,"In the Spring Bean lifecycle, what happens immediately after dependency injection is complete?","The bean is destroyed","BeanPostProcessor.postProcessBeforeInitialization() is called","The bean is added to the application context directly","The @PreDestroy method is called",B,"After DI, the lifecycle proceeds: Aware interfaces called, then BeanPostProcessor.postProcessBeforeInitialization(), then @PostConstruct / InitializingBean.afterPropertiesSet(), then BeanPostProcessor.postProcessAfterInitialization(). Only after all post-processing is the bean fully ready."
27,"Spring Framework",hard,"How does Spring resolve circular dependencies between singleton beans using setter injection?","It throws an exception immediately","It uses a three-level cache exposing early (partially initialized) bean references","It creates prototype-scoped proxies for all involved beans","It serializes beans to disk and reloads them",B,"Spring uses three caches: singletonObjects (fully initialized), earlySingletonObjects (partially initialized), singletonFactories (ObjectFactory). When A needs B and B needs A, Spring exposes A's early reference to B. This does NOT work with constructor injection - use @Lazy on one param if needed."
28,"Spring Framework",hard,"Why do Spring AOP aspects not apply when a bean calls its own method (self-invocation)?","AOP is disabled for internal calls by Spring Security","The call goes through 'this' which bypasses the proxy that wraps the bean","Internal methods cannot have annotations","The JVM prevents proxy interception of self-calls",B,"Spring AOP works via proxies (JDK dynamic proxy or CGLIB subclass). External calls go through the proxy, triggering aspects. But this.method() calls the real object directly, bypassing the proxy entirely. Fix: inject self, use AopContext.currentProxy(), or extract logic into a separate bean."
29,"Spring Framework",medium,"What special behavior does @Repository provide beyond being a component stereotype?","It enables automatic REST endpoint generation","It adds automatic exception translation - converting DB exceptions to Spring DataAccessException","It makes the bean prototype-scoped by default","It enables transaction management without @Transactional",B,"@Repository triggers PersistenceExceptionTranslationPostProcessor which translates platform-specific exceptions (SQLException, JPA PersistenceException) into Spring's consistent DataAccessException hierarchy. This gives a uniform exception model regardless of the persistence technology used."
30,"Spring Framework",expert,"By default, @Transactional only rolls back on which type of exceptions?","All exceptions including checked exceptions","Only unchecked exceptions (RuntimeException and Error)","Only IOException and SQLException","It never rolls back automatically",B,"By default, @Transactional rolls back only on unchecked exceptions (RuntimeException subclasses) and Error. Checked exceptions trigger a commit. To roll back on checked exceptions, specify rollbackFor: @Transactional(rollbackFor = Exception.class). This is a common pitfall that causes unexpected data persistence."
31,"Spring Framework",hard,"How does Spring Boot auto-configuration decide whether to create a bean?","It always creates all beans defined in auto-configuration classes","It uses @Conditional annotations like @ConditionalOnClass and @ConditionalOnMissingBean","It scans all packages and creates beans alphabetically","It asks the user at startup which beans to create",B,"Auto-configuration classes are guarded by @Conditional annotations: @ConditionalOnClass (only if class on classpath), @ConditionalOnMissingBean (only if user hasn't defined one), @ConditionalOnProperty (only if config property set). This is how Spring Boot provides sensible defaults that back off when you provide your own configuration."
32,"Spring Framework",medium,"What happens when you inject a prototype-scoped bean into a singleton-scoped bean?","A new prototype instance is created on every method call","You get one prototype instance that is reused for the singleton's lifetime","Spring throws a BeanCreationException","The singleton automatically becomes prototype-scoped",B,"Injection happens once at singleton creation time, so you get one prototype instance forever. To get fresh instances each time, use: ObjectFactory<T>, @Lookup annotation on a method, Provider<T>, or ObjectProvider<T>. This is a common Spring pitfall."
33,"Design Patterns",medium,"Which Java interface is a classic example of the Strategy pattern?","Serializable","Comparator<T>","Cloneable","AutoCloseable",B,"Comparator<T> encapsulates a sorting algorithm (strategy) that can be swapped at runtime. You pass different Comparator implementations to sort differently without modifying the sorting code. With lambdas: List.sort((a, b) -> a.getName().compareTo(b.getName())) - the lambda IS the strategy."
34,"Design Patterns",hard,"What is the primary purpose of the Proxy pattern?","To add new behavior to an object dynamically (like adding toppings)","To control access to an object (lazy loading, security, caching)","To convert one interface to another for compatibility","To separate construction from representation",B,"Proxy controls access: lazy initialization proxy (Hibernate), security proxy (Spring Security), caching proxy, remote proxy (RMI). Decorator adds behavior (BufferedInputStream). Adapter converts interfaces (Arrays.asList). Key distinction: Proxy controls, Decorator enhances, Adapter translates."
35,"Design Patterns",hard,"When is the Builder pattern preferred over telescoping constructors?","When a class has only one required field","When a class has many parameters, especially optional ones, making construction readable","When objects need to be mutable after creation","When you want to avoid using the 'new' keyword",B,"Builder shines with >4 parameters or many optional fields: User.builder().name(""John"").age(30).email(""j@x.com"").build(). It's readable (named params), safe (validation in build()), and creates immutable objects. Telescoping constructors become unreadable and error-prone with many similarly-typed parameters."
36,"Design Patterns",medium,"What advantage does Spring's @EventListener have over direct method coupling between components?","It makes method calls faster","The publisher doesn't know about listeners - they're fully decoupled","It prevents null pointer exceptions","It guarantees events are processed before the method returns",B,"Observer/Event pattern decouples publisher from listeners. The publisher just calls ApplicationEventPublisher.publishEvent() without knowing who listens. Listeners register themselves via @EventListener. This enables: adding listeners without modifying publisher, async processing with @Async, and transaction-bound events with @TransactionalEventListener."
37,"Design Patterns",expert,"In a Circuit Breaker, what state does it enter when failures exceed the threshold?","CLOSED - normal operation continues","HALF-OPEN - it sends test requests to check recovery","OPEN - it fails fast without calling the service","DISABLED - it removes itself from the call chain",C,"Circuit Breaker states: CLOSED (normal, tracking failures) â†’ OPEN (failing fast after threshold, no calls made) â†’ HALF-OPEN (after timeout, sends test requests). If test succeeds â†’ CLOSED. If test fails â†’ OPEN again. This prevents cascading failures by not wasting resources calling a known-broken service."
38,"Spring Framework",hard,"In Spring Security's filter chain, what does DelegatingFilterProxy do?","It encrypts all request/response data","It delegates servlet filter handling to Spring-managed beans (FilterChainProxy)","It blocks all unauthenticated requests immediately","It creates a new thread for each security filter",B,"DelegatingFilterProxy bridges the servlet container and Spring. It's registered as a servlet filter but delegates to Spring's FilterChainProxy (a Spring bean), which contains the ordered SecurityFilterChain with all security filters (CORS, CSRF, authentication, authorization). This lets Spring manage filter lifecycle and dependencies."
39,"Design Patterns",medium,"How does Spring Data JPA implement the Repository pattern without requiring implementation classes?","It uses code generation at compile time","It generates JDK dynamic proxy implementations at runtime based on method names","It requires manual implementation for every method","It uses AspectJ weaving to inject method bodies",B,"Spring Data creates a JDK proxy implementing your interface at runtime. Method names are parsed into queries: findByNameAndAge() becomes SELECT WHERE name=? AND age=?. Custom queries use @Query. This eliminates boilerplate for 90% of data access patterns - you just define the interface."
40,"Spring Framework",expert,"When should you choose Spring WebFlux over Spring MVC?","When you need simple CRUD operations with a relational database","When you have high concurrency with I/O-bound operations and want non-blocking, event-loop architecture","When your team is new to Spring and wants the simplest approach","When you need to use Hibernate/JPA for data access",B,"WebFlux excels at high-concurrency I/O-bound workloads (many concurrent connections, microservice fan-out). It uses non-blocking event loops (Netty) with Mono/Flux reactive types. Avoid when: using blocking libraries (JDBC without R2DBC), simple workloads, or team lacks reactive experience. Don't mix blocking calls in WebFlux."
41,"Design Patterns",hard,"What is the main benefit of CQRS (Command Query Responsibility Segregation)?","It eliminates the need for a database","It separates read and write models, allowing independent optimization and scaling","It forces all operations to be synchronous","It replaces REST APIs with GraphQL",B,"CQRS separates commands (writes with validation/business rules) from queries (reads with optimized denormalized views). Benefits: read models optimized for specific views (Elasticsearch for search), independent scaling (more read replicas), and different storage technologies per side. Overkill for simple CRUD apps."
42,"Spring Framework",medium,"What is the Spring team's recommended injection style?","Field injection with @Autowired","Setter injection with @Autowired","Constructor injection (no annotation needed for single constructor)","Static factory methods with @Bean",C,"Constructor injection is preferred: dependencies are clear and explicit, fields can be final (immutable), easier to test (just pass mocks to constructor), no reflection needed, fails fast if dependency missing. Since Spring 4.3, a single constructor is auto-detected - no @Autowired needed."
43,"Design Patterns",medium,"What distinguishes Abstract Factory from Factory Method?","Abstract Factory creates a single product; Factory Method creates families","Abstract Factory creates families of related objects; Factory Method creates a single product type","They are the same pattern with different names","Factory Method is only used in static contexts",B,"Factory Method: one method creating one product type (subclasses decide which implementation). Abstract Factory: a family of methods creating related products (e.g., GUIFactory with createButton(), createDialog() - WindowsFactory produces Windows widgets, MacFactory produces Mac widgets). Use Abstract Factory when objects must be used together."
44,"Spring Framework",hard,"What advantage does @ConfigurationProperties have over @Value for binding configuration?","@Value supports SpEL expressions while @ConfigurationProperties does not","@ConfigurationProperties provides type-safe binding to POJOs with validation, nested objects, and relaxed binding","@ConfigurationProperties is faster at runtime","@Value cannot read from application.yml files",B,"@ConfigurationProperties binds entire property groups to a typed POJO: supports nested objects, lists/maps, @Validated with JSR-303, relaxed binding (kebab-case â†’ camelCase), and immutable construction. @Value is for simple one-off values and supports SpEL. Use @ConfigurationProperties for structured config - it's type-safe, testable, and self-documenting."
45,"Design Patterns",expert,"What is the main trade-off of Event Sourcing compared to traditional CRUD?","Event Sourcing uses less storage space","Event Sourcing provides full audit trail but introduces eventual consistency and complex event versioning","Event Sourcing eliminates the need for a message broker","Event Sourcing makes queries simpler and faster",B,"Event Sourcing stores state as immutable events rather than current state. Benefits: complete audit trail, temporal queries. Trade-offs: eventual consistency for reads, complex event versioning/schema evolution, growing event store (use snapshots), harder debugging. Only use for domains where history matters (finance, audit-critical systems)."
46,"Spring Framework",medium,"How do you keep sensitive credentials out of application-prod.yml in a team project?","Encrypt the YAML file with a password","UWhen pooling cheap, short-lived objects like small POJOsse environment variables or a config server (Spring Cloud Config) for production secrets","Put credentials in a README file instead","Use @Value with hardcoded fallback values",B,"Never commit credentials. Use: environment variables (SPRING_DATASOURCE_PASSWORD), Spring Cloud Config Server with encrypted values, AWS Secrets Manager/HashiCorp Vault, or Kubernetes secrets. application-prod.yml can reference them: spring.datasource.password=${DB_PASSWORD}. Keep common config in base application.yml, override per environment."
47,"Design Patterns",hard,"In the Saga pattern, what is the key difference between orchestration and choreography?","Orchestration uses events while choreography uses a coordinator","Orchestration has a central coordinator; choreography relies on services reacting to events independently","Choreography is always faster than orchestration","Orchestration only works with synchronous communication",B,"Orchestration: central coordinator tells each service what to do next - easier to understand, single control point, but single point of failure. Choreography: services listen to events and decide their own next step - more decoupled, no coordinator, but harder to track overall flow. Both need idempotent compensating actions for rollback."
48,"Spring Framework",hard,"What is the default thread pool size for Spring Boot's embedded Tomcat?","10 threads","50 threads","200 threads","Unlimited threads",C,"Default max threads is 200 (server.tomcat.threads.max). For I/O-heavy apps, you may increase this. Key tuning params: server.tomcat.accept-count (queue when threads full), server.tomcat.connection-timeout, server.tomcat.max-connections. For high-concurrency, consider Undertow (less memory) or WebFlux (non-blocking)."
49,"Design Patterns",medium,"Which type of Dependency Injection is discouraged in modern Spring applications?","Constructor injection","Setter injection for optional dependencies","Field injection with @Autowired directly on fields","Method injection via @Lookup",C,"Field injection is discouraged: hides dependencies (not visible in constructor), makes testing harder (requires reflection or Spring context), prevents immutability (can't use final), and doesn't fail fast if dependency is missing. Constructor injection is preferred for required deps; setter injection is acceptable for optional ones."
50,"Design Patterns",hard,"What does the Bulkhead pattern prevent in a microservices system?","Data duplication across services","One slow service from exhausting all threads and taking down the entire system","Network latency between services","Database schema conflicts",B,"Bulkhead isolates components using separate resource pools: if Service A's thread pool is exhausted (slow/down), Service B calls still work on their own pool. Like ship compartments - one breach doesn't sink the ship. Implementation: separate thread pools per service (ThreadPool bulkhead) or semaphore-based limits (Semaphore bulkhead) via Resilience4j."
51,"Collections",medium,"What happens in a HashMap bucket when the number of colliding entries reaches 8 (and table size >= 64)?","The bucket is deleted and entries are rehashed","The linked list is converted to a red-black tree for O(log n) lookup","A new HashMap is created to hold overflow entries","The bucket switches to open addressing",B,"Java 8+ treeifies a bucket into a red-black tree when collisions reach 8 nodes AND table capacity >= 64. This improves worst-case lookup from O(n) (linked list) to O(log n). When the tree shrinks below 6 nodes, it untreeifies back to a linked list to save memory."
52,"Collections",hard,"What breaks if you override equals() but NOT hashCode()?","The object cannot be serialized","Logically equal objects end up in different HashMap buckets, so get() returns null","The JVM throws an UnsupportedOperationException","The object cannot be used in ArrayList",B,"Contract: if a.equals(b) then a.hashCode() == b.hashCode(). Breaking this means equal objects hash to different buckets. You can put(key, value) but get(equalKey) searches the wrong bucket and returns null. HashSet will also contain 'duplicates'. Always override both together."
53,"Collections",medium,"In practice, when is LinkedList a better choice than ArrayList?","When you need fast random access by index","Almost never - ArrayList outperforms LinkedList in most real-world scenarios due to cache locality","When the list will contain more than 1000 elements","When you need thread safety",B,"ArrayList has contiguous memory (cache-friendly), O(1) random access, and amortized O(1) append. LinkedList has poor cache locality, extra pointer overhead per node, and O(n) random access. Even for frequent insertions at the head, ArrayDeque beats LinkedList. LinkedList is rarely the right choice in modern Java."
54,"Collections",hard,"What does ConcurrentSkipListMap provide that ConcurrentHashMap does not?","Thread safety","Sorted key ordering with O(log n) range queries (subMap, headMap, tailMap)","Faster single-key lookup performance","Support for null keys",B,"ConcurrentSkipListMap is a thread-safe sorted NavigableMap using a skip list structure. It provides: sorted iteration, range queries (subMap, headMap, tailMap), floor/ceiling/higher/lower operations. ConcurrentHashMap has O(1) lookups but no ordering. Use SkipListMap when you need concurrent sorted access."
55,"Collections",medium,"What does a fail-fast iterator do when the collection is modified during iteration?","It silently ignores the modification","It throws ConcurrentModificationException","It restarts iteration from the beginning","It locks the collection to prevent modification",B,"Fail-fast iterators (ArrayList, HashMap) detect structural modification via modCount field and throw ConcurrentModificationException. Fail-safe iterators (CopyOnWriteArrayList, ConcurrentHashMap) work on copies or tolerate concurrent modification - no CME but may not reflect latest changes."
56,"Streams & Lambdas",medium,"When does a Stream pipeline actually execute?","Immediately when intermediate operations like filter() or map() are called","Only when a terminal operation (collect, forEach, reduce, count) is invoked","After a 100ms delay for batching","When the garbage collector triggers",B,"Intermediate operations are lazy - they build a pipeline description but don't process data. Execution only happens when a terminal operation is called. This enables optimizations: short-circuiting (findFirst stops early), loop fusion (combining filter+map into one pass), and avoiding unnecessary work."
57,"Streams & Lambdas",hard,"What is the main risk of using parallel streams with blocking I/O operations?","Parallel streams cannot perform I/O","They use the shared ForkJoinPool.commonPool(), and blocking operations starve other parallel streams","I/O operations are automatically serialized in parallel streams","Parallel streams create unlimited threads for I/O",B,"Parallel streams use ForkJoinPool.commonPool() (shared across the JVM). Blocking I/O ties up pool threads, starving other parallel streams and unrelated tasks. Solutions: use a custom ForkJoinPool, use CompletableFuture with a dedicated executor for I/O, or avoid parallel streams for I/O-bound work entirely."
58,"Streams & Lambdas",hard,"What is the difference between map() and flatMap() in streams?","map() is for primitives, flatMap() is for objects","map() transforms each element 1:1, flatMap() transforms each element to a stream and flattens into one stream","flatMap() is just a faster version of map()","map() works on parallel streams, flatMap() only on sequential",B,"map(): T -> R (one-to-one). flatMap(): T -> Stream<R> (one-to-many, flattened). Example: List<List<String>> nested â†’ nested.stream().flatMap(List::stream) gives Stream<String>. Use flatMap for: flattening nested collections, Optional chaining, one-to-many transformations."
59,"Streams & Lambdas",medium,"Which functional interface takes a value and returns a boolean?","Function<T, Boolean>","Predicate<T>","Consumer<T>","Supplier<Boolean>",B,"Predicate<T>: T -> boolean (used for testing/filtering). Function<T,R>: T -> R (transform). Consumer<T>: T -> void (side effects). Supplier<T>: () -> T (produce value). While Function<T,Boolean> works technically, Predicate is the idiomatic choice - it's used by Stream.filter() and has useful methods like and(), or(), negate()."
60,"Streams & Lambdas",expert,"Why did Java choose invokedynamic for lambdas instead of anonymous inner classes?","Anonymous classes are not supported in Java 8+","invokedynamic avoids .class file generation, enables singleton optimization for stateless lambdas, and defers implementation strategy to runtime","Anonymous classes cannot implement functional interfaces","invokedynamic makes lambdas run on a separate thread",B,"invokedynamic + LambdaMetafactory: no .class files (smaller JARs, faster startup), stateless lambdas become singletons (zero allocation), JIT can inline aggressively, and implementation strategy can change in future JVM versions without recompiling code. Anonymous classes always allocate and always generate class files."
61,"Performance",hard,"Which profiling tool is safe to use in production with minimal overhead?","Eclipse MAT (Memory Analyzer Tool)","Async Profiler / Java Flight Recorder (JFR)","JUnit with System.currentTimeMillis()","Thread.sleep() with logging",B,"Async Profiler uses OS-level perf events with near-zero overhead (no safepoint bias). JFR (Java Flight Recorder) is built into the JVM with <2% overhead, collecting events continuously. Both are production-safe. Eclipse MAT analyzes heap dumps (offline). JMH is for isolated microbenchmarks, not production profiling."
62,"Performance",medium,"Why can't you reliably benchmark Java code with System.currentTimeMillis() in a loop?","System.currentTimeMillis() returns random values","JIT warmup, dead code elimination, and constant folding make naive timing misleading","The system clock is too slow to measure Java code","Java does not allow timing measurements",B,"JMH exists because naive benchmarks fail to account for: JIT warmup (code gets faster over time), dead code elimination (JIT removes unused results), constant folding (JIT pre-computes constants), loop optimization, and profile pollution. JMH uses Blackhole, @State, warmup iterations, and forking to produce reliable results."
63,"Performance",hard,"What is the N+1 query problem in JPA/Hibernate?","A query that returns N+1 columns instead of N","Loading N entities triggers 1 query for the list + N additional queries to lazily fetch each entity's association","A transaction that requires N+1 database connections","An entity with N+1 fields that exceeds column limits",B,"Fetching 100 Orders where each lazily loads order.getItems() = 1 (list query) + 100 (item queries) = 101 queries. Solutions: JOIN FETCH in JPQL, @EntityGraph, @BatchSize(size=50) for batched loading, or DTO projections for read-only views. Enable Hibernate statistics in dev to detect this."
